State/ UT,District/ Area,Year,Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country
Andhra Pradesh,Anantapur,2015,32,57,12,325,8,276,0
Andhra Pradesh,Chittoor,2015,31,20,10,94,1,202,0
Andhra Pradesh,Cuddapah,2015,34,17,6,211,82,317,0
Andhra Pradesh,East Godavari,2015,104,25,13,574,150,522,0
Andhra Pradesh,Guntakal Railway,2015,1,0,0,0,0,0,0
Andhra Pradesh,Guntur,2015,67,42,13,298,338,483,0
Andhra Pradesh,Guntur Urban,2015,34,68,11,159,217,333,0
Andhra Pradesh,Krishna,2015,77,19,17,422,200,575,0
Andhra Pradesh,Kurnool,2015,40,34,19,479,557,400,0
Andhra Pradesh,Nellore,2015,69,64,5,314,132,422,0
Andhra Pradesh,Prakasham,2015,67,44,10,276,12,427,0
Andhra Pradesh,Rajahmundry,2015,29,16,1,120,56,207,0
Andhra Pradesh,Srikakulam,2015,47,28,6,119,21,214,0
Andhra Pradesh,Tirupathi Urban,2015,20,16,7,40,22,106,0
Andhra Pradesh,Vijayawada City,2015,53,26,11,196,123,181,0
Andhra Pradesh,Vijayawada Railway,2015,2,0,1,7,8,0,0
Andhra Pradesh,Visakha Rural,2015,39,23,3,107,43,128,0
Andhra Pradesh,Visakhapatnam,2015,87,126,7,257,9,383,0
Andhra Pradesh,Vizianagaram,2015,34,11,5,191,91,282,0
Andhra Pradesh,West Godavari,2015,160,48,17,427,130,663,0
Andhra Pradesh,Total District(s),2015,1027,684,174,4616,2200,6121,0
Arunachal Pradesh,Anjaw,2015,0,0,0,0,0,0,0
Arunachal Pradesh,Changlang,2015,5,7,0,5,0,4,0
Arunachal Pradesh,Crime Branch,2015,1,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,2015,0,0,0,1,0,0,0
Arunachal Pradesh,Kameng East,2015,4,1,0,7,0,0,0
Arunachal Pradesh,Kameng West,2015,1,3,0,5,0,1,0
Arunachal Pradesh,Kurung Kumey,2015,2,3,0,0,0,0,0
Arunachal Pradesh,Lohit,2015,6,21,0,12,0,4,0
Arunachal Pradesh,Longding,2015,0,0,0,0,0,0,0
Arunachal Pradesh,Lower Dibang Valley,2015,1,6,0,3,0,0,0
Arunachal Pradesh,Papum Pare City,2015,17,62,0,25,2,30,0
Arunachal Pradesh,Papum Pare Rural,2015,1,2,0,2,0,1,0
Arunachal Pradesh,Siang East,2015,10,9,0,15,0,8,0
Arunachal Pradesh,Siang Upper,2015,1,1,0,3,0,2,0
Arunachal Pradesh,Siang West,2015,12,6,0,6,0,4,0
Arunachal Pradesh,Subansiri Lower,2015,6,0,0,2,0,3,0
Arunachal Pradesh,Subansiri Upper,2015,1,1,0,11,0,8,0
Arunachal Pradesh,Tawang,2015,0,0,0,1,0,1,0
Arunachal Pradesh,Tirap,2015,2,6,0,2,0,0,0
Arunachal Pradesh,Siang,2015,1,0,0,1,0,0,0
Arunachal Pradesh,Total District(s),2015,71,128,0,101,2,66,0
Assam,B. I. E. O.,2015,0,0,0,0,0,0,0
Assam,Barpeta,2015,124,373,22,461,20,1503,0
Assam,Baksa,2015,46,128,4,96,4,78,0
Assam,Bongaigaon,2015,37,131,14,15,0,175,0
Assam,C. I. D.,2015,0,0,0,0,0,0,0
Assam,Cachar,2015,59,234,8,70,0,597,0
Assam,Chirang,2015,18,44,3,27,4,106,0
Assam,Darrang,2015,77,198,10,502,0,432,0
Assam,Dhemaji,2015,34,44,6,94,3,139,0
Assam,Dhubri,2015,158,399,19,434,1,911,0
Assam,Dibrugarh,2015,29,184,3,84,0,380,0
Assam,G. R. P.,2015,0,4,0,4,0,0,0
Assam,Goalpara,2015,84,62,3,238,0,691,0
Assam,Golaghat,2015,56,167,5,120,0,292,0
Assam,Guwahati City,2015,80,651,12,239,59,677,0
Assam,Hailakandi,2015,90,89,4,203,3,279,0
Assam,Hamren,2015,10,16,0,0,0,33,0
Assam,Jorhat,2015,53,176,5,161,13,292,0
Assam,Kamrup,2015,82,207,12,139,0,416,0
Assam,Karbi Anglong,2015,37,68,2,20,0,38,0
Assam,Karimganj,2015,65,136,13,246,0,242,0
Assam,Kokrajhar,2015,32,98,2,122,0,223,0
Assam,Lakhimpur,2015,69,182,10,74,0,377,0
Assam,Morigaon,2015,86,182,2,146,0,414,0
Assam,Dima Hasao,2015,5,16,0,5,0,3,0
Assam,Nagaon,2015,95,328,19,105,0,890,0
Assam,Nalbari,2015,36,102,3,43,1,188,0
Assam,R. P. O.,2015,8,3,0,3,0,11,0
Assam,S. T. F.,2015,0,0,0,0,0,0,0
Assam,Sibsagar,2015,35,290,2,249,0,331,0
Assam,Sonitpur,2015,43,136,10,28,0,503,0
Assam,Tinsukia,2015,27,14,2,42,0,185,0
Assam,Udalguri,2015,22,63,4,30,0,76,0
Assam,Sadia,2015,10,6,0,4,0,14,0
Assam,Majuli,2015,5,6,0,14,0,19,0
Assam,Biswanath,2015,34,106,3,28,0,212,0
Assam,Hojai,2015,44,138,7,117,3,295,0
Assam,South Salmara,2015,43,58,7,130,0,203,0
Assam,Total District(s),2015,1733,5039,216,4293,111,11225,0
Bihar,Araria,2015,50,81,23,0,0,60,0
Bihar,Arwal,2015,10,28,15,10,1,38,0
Bihar,Aurangabad,2015,21,46,45,1,0,95,0
Bihar,Bagaha,2015,12,68,13,5,0,40,0
Bihar,Banka,2015,11,76,16,0,0,63,0
Bihar,Begusarai,2015,24,134,30,0,0,71,0
Bihar,Bettiah,2015,37,155,17,0,0,52,0
Bihar,Bhabhua,2015,20,64,20,0,0,70,0
Bihar,Bhagalpur,2015,33,185,23,30,0,117,0
Bihar,Bhojpur,2015,12,89,43,6,0,0,0
Bihar,Buxar,2015,14,63,26,6,0,82,0
Bihar,Darbhanga,2015,35,217,26,0,8,201,0
Bihar,Gaya,2015,26,196,54,0,0,147,0
Bihar,Gopalganj,2015,13,135,34,0,0,168,0
Bihar,Jamalpur Railway,2015,0,0,0,3,0,0,0
Bihar,Jamui,2015,10,40,10,28,0,73,0
Bihar,Jehanabad,2015,15,54,23,1,0,34,0
Bihar,Katihar,2015,66,147,10,0,0,76,0
Bihar,Katihar Railway,2015,0,1,0,0,0,0,0
Bihar,Khagaria,2015,18,80,16,2,0,74,0
Bihar,Kishanganj,2015,59,89,11,8,0,73,0
Bihar,Lakhisarai,2015,10,38,7,0,0,18,0
Bihar,Madhepura,2015,20,79,12,0,0,42,0
Bihar,Madhubani,2015,47,202,31,1,0,217,0
Bihar,Motihari,2015,23,251,79,1,0,154,0
Bihar,Munger,2015,8,43,7,6,0,43,0
Bihar,Muzaffarpur,2015,37,208,53,5,0,244,0
Bihar,Muzaffarpur Railway,2015,4,6,0,4,0,1,0
Bihar,Nalanda,2015,29,193,54,2,0,195,0
Bihar,Naugachia,2015,5,32,7,19,4,13,0
Bihar,Nawadah,2015,27,106,29,0,0,37,0
Bihar,Patna,2015,82,644,104,11,83,474,0
Bihar,Patna Railway,2015,1,5,1,20,0,0,0
Bihar,Purnea,2015,44,111,16,0,0,54,0
Bihar,Rohtas,2015,29,108,41,3,0,68,0
Bihar,Saharsa,2015,19,86,3,0,0,49,0
Bihar,Samastipur,2015,34,183,34,0,0,102,0
Bihar,Saran,2015,29,222,73,1,0,58,0
Bihar,Sheikhpura,2015,1,24,13,17,0,28,0
Bihar,Sheohar,2015,5,25,4,6,0,18,0
Bihar,Sitamarhi,2015,22,180,14,0,0,196,0
Bihar,Siwan,2015,21,136,41,0,0,38,0
Bihar,Supaul,2015,22,99,14,2,0,72,0
Bihar,Vaishali,2015,36,229,62,0,0,137,0
Bihar,Economic Offences Unit,2015,0,0,0,0,0,0,0
Bihar,Anti Terrorist Squad,2015,0,0,0,0,0,0,0
Bihar,Total District(s),2015,1041,5158,1154,198,96,3792,0
Chhattisgarh,Balod,2015,37,32,4,50,1,13,0
Chhattisgarh,Balodbazar,2015,60,83,4,90,1,16,0
Chhattisgarh,Balrampur,2015,98,14,3,65,1,24,0
Chhattisgarh,Bemetra,2015,24,29,3,44,2,12,0
Chhattisgarh,Bilaspur,2015,93,144,6,204,1,47,0
Chhattisgarh,Bizapur,2015,9,12,0,4,0,4,0
Chhattisgarh,Dantewara,2015,9,8,0,10,0,2,0
Chhattisgarh,Dhamtari,2015,35,13,0,39,2,6,0
Chhattisgarh,Durg,2015,112,125,1,226,8,84,0
Chhattisgarh,Gariyaband,2015,46,17,0,25,1,13,0
Chhattisgarh,G. R. P. Raipur,2015,0,2,1,8,1,0,0
Chhattisgarh,Jagdalpur,2015,58,50,2,28,0,10,0
Chhattisgarh,Janjgir,2015,54,79,20,112,6,42,0
Chhattisgarh,Jashpur,2015,98,57,0,44,0,3,0
Chhattisgarh,Kabirdham,2015,29,35,1,72,0,20,0
Chhattisgarh,Kanker,2015,56,31,2,36,3,24,0
Chhattisgarh,Kondagaon,2015,29,21,0,24,0,7,0
Chhattisgarh,Korba,2015,67,51,7,64,3,36,0
Chhattisgarh,Koriya,2015,68,41,1,75,2,34,0
Chhattisgarh,Mahasamund,2015,43,48,2,76,5,15,0
Chhattisgarh,Mungali,2015,19,38,1,42,1,15,0
Chhattisgarh,Narayanpur,2015,5,7,0,0,0,0,0
Chhattisgarh,Raigarh,2015,122,75,16,98,6,48,0
Chhattisgarh,Raipur,2015,198,205,8,205,7,70,0
Chhattisgarh,Rajnandgaon,2015,49,73,4,87,1,28,0
Chhattisgarh,Sarguja,2015,82,14,0,76,0,6,0
Chhattisgarh,Sukma,2015,5,5,0,6,0,1,0
Chhattisgarh,Surajpur,2015,55,45,3,58,1,40,0
Chhattisgarh,Total District(s),2015,1560,1354,89,1868,53,620,0
Goa,North Goa,2015,49,43,0,86,9,4,0
Goa,South Goa,2015,34,27,0,57,24,12,0
Goa,C. I. D.,2015,3,0,0,7,1,3,0
Goa,Total District(s),2015,86,70,0,150,34,19,0
Gujarat,Ahmedabad City,2015,59,243,1,152,2,595,0
Gujarat,Ahmedabad Rural,2015,10,6,2,21,0,73,0
Gujarat,Amreli,2015,8,48,0,17,2,131,0
Gujarat,Anand,2015,22,96,0,41,3,99,0
Gujarat,Arvalli,2015,13,15,0,18,0,50,0
Gujarat,Banaskantha,2015,37,89,1,54,1,188,0
Gujarat,Bharuch,2015,12,24,0,41,0,93,0
Gujarat,Bhavnagar,2015,8,27,1,34,4,104,0
Gujarat,Botad,2015,1,25,1,18,0,20,0
Gujarat,Chhotaudepur,2015,12,6,0,12,0,19,0
Gujarat,C. I. D. Crime,2015,0,0,0,0,0,0,0
Gujarat,Dahod,2015,23,53,0,38,0,137,0
Gujarat,Dang,2015,2,0,0,6,2,7,0
Gujarat,Devbhumi Dwarka,2015,5,11,0,3,1,42,0
Gujarat,Gandhinagar,2015,7,22,0,26,16,123,0
Gujarat,Gir Somnath,2015,6,14,0,27,2,122,0
Gujarat,Jamnagar,2015,11,36,1,20,1,169,0
Gujarat,Junagadh,2015,6,25,0,19,3,212,0
Gujarat,Kachchh East(G),2015,28,35,0,35,0,48,0
Gujarat,Kachchh West(B),2015,16,8,1,30,3,70,0
Gujarat,Kheda,2015,11,73,0,22,1,73,0
Gujarat,Mahisagar,2015,6,19,0,13,0,46,0
Gujarat,Mehsana,2015,17,81,0,39,0,180,0
Gujarat,Morbi,2015,8,21,0,8,1,58,0
Gujarat,Narmada,2015,1,5,0,9,0,13,0
Gujarat,Navsari,2015,4,25,0,13,0,42,0
Gujarat,Panchmahal,2015,7,16,0,28,0,66,0
Gujarat,Patan,2015,16,16,0,42,0,72,0
Gujarat,Porbandar,2015,3,11,0,12,0,72,0
Gujarat,Rajkot City,2015,19,74,0,35,2,204,0
Gujarat,Rajkot Rural,2015,10,60,0,32,0,163,0
Gujarat,Sabarkantha,2015,3,19,0,33,3,176,0
Gujarat,Surat City,2015,43,143,1,50,1,260,0
Gujarat,Surat Rural,2015,8,43,1,13,0,41,0
Gujarat,Surendranagar,2015,21,36,2,26,1,57,0
Gujarat,Tapi,2015,10,9,0,13,24,8,0
Gujarat,Vadodara City,2015,15,45,0,104,0,232,0
Gujarat,Vadodara Rural,2015,3,17,0,15,0,36,0
Gujarat,Valsad,2015,11,69,0,37,0,31,0
Gujarat,W.Rly Ahmedabad,2015,0,0,0,0,0,0,0
Gujarat,W.Rly Vadodara,2015,1,4,0,8,0,1,0
Gujarat,Total District(s),2015,503,1569,12,1164,73,4133,0
