"bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","sqft_living15","sqft_lot15","priceinK","PYears","Pmonth"
3,1,1180,5650,1,"0","0","3","7",1180,0,1955,0,"98178",1340,5.65,221.9,"2014","10"
3,2,2570,7242,2,"0","0","3","7",2170,400,1951,1991,"98125",1690,7.639,538,"2014","12"
2,1,770,10000,1,"0","0","3","6",770,0,1933,0,"98028",2720,8.062,180,"2015","2"
4,3,1960,5000,1,"0","0","5","7",1050,910,1965,0,"98136",1360,5,604,"2014","12"
3,2,1680,8080,1,"0","0","3","8",1680,0,1987,0,"98074",1800,7.503,510,"2015","2"
4,4,5420,101930,1,"0","0","3","11",3890,1530,2001,0,"98053",4760,101.93,1230,"2014","5"
3,2,1715,6819,2,"0","0","3","7",1715,0,1995,0,"98003",2238,6.819,257.5,"2014","6"
3,2,1060,9711,1,"0","0","3","7",1060,0,1963,0,"98198",1650,9.711,291.9,"2015","1"
3,1,1780,7470,1,"0","0","3","7",1050,730,1960,0,"98146",1780,8.113,229.5,"2015","4"
3,2,1890,6560,2,"0","0","3","7",1890,0,2003,0,"98038",2390,7.57,323,"2015","3"
3,2,3560,9796,1,"0","0","3","8",1860,1700,1965,0,"98007",2210,8.925,662.5,"2015","4"
2,1,1160,6000,1,"0","0","4","7",860,300,1942,0,"98115",1330,6,468,"2014","5"
3,1,1430,19901,1.5,"0","0","4","7",1430,0,1927,0,"98028",1780,12.697,310,"2014","5"
3,2,1370,9680,1,"0","0","4","7",1370,0,1977,0,"98074",1370,10.208,400,"2014","10"
5,2,1810,4850,1.5,"0","0","3","7",1810,0,1900,0,"98107",1360,4.85,530,"2015","3"
4,3,2950,5000,2,"0","3","3","9",1980,970,1979,0,"98126",2140,4,650,"2015","1"
3,2,1890,14040,2,"0","0","3","7",1890,0,1994,0,"98019",1890,14.018,395,"2014","7"
4,1,1600,4300,1.5,"0","0","4","7",1600,0,1916,0,"98103",1610,4.3,485,"2014","5"
2,1,1200,9850,1,"0","0","4","7",1200,0,1921,0,"98002",1060,5.095,189,"2014","12"
3,1,1250,9774,1,"0","0","4","7",1250,0,1969,0,"98003",1280,8.85,230,"2015","4"
4,2,1620,4980,1,"0","0","4","7",860,760,1947,0,"98133",1400,4.98,385,"2014","5"
3,3,3050,44867,1,"0","4","3","9",2330,720,1968,0,"98040",4110,20.336,2000,"2014","8"
5,2,2270,6300,2,"0","0","3","8",2270,0,1995,0,"98092",2240,7.005,285,"2014","7"
2,2,1070,9643,1,"0","0","3","7",1070,0,1985,0,"98030",1220,8.386,252.7,"2014","5"
3,2,2450,6500,2,"0","0","4","8",2450,0,1985,0,"98030",2200,6.865,329,"2014","11"
3,2,1710,4697,1.5,"0","0","5","6",1710,0,1941,0,"98002",1030,4.705,233,"2014","11"
3,2,2450,2691,2,"0","0","3","8",1750,700,1915,0,"98119",1760,3.573,937,"2014","6"
3,1,1400,1581,1.5,"0","0","5","8",1400,0,1909,0,"98112",1860,3.861,667,"2014","12"
3,2,1520,6380,1,"0","0","3","7",790,730,1948,0,"98115",1520,6.235,438,"2014","6"
4,2,2570,7173,2,"0","0","3","8",2570,0,2005,0,"98052",2630,6.026,719,"2015","3"
3,2,2320,3980,2,"0","0","3","8",2320,0,2003,0,"98027",2580,3.98,580.5,"2014","11"
2,2,1190,1265,3,"0","0","3","7",1190,0,2005,0,"98133",1390,1.756,280,"2014","12"
4,2,2330,5000,1.5,"0","0","4","7",1510,820,1929,0,"98117",1460,5,687.5,"2014","6"
3,1,1090,3000,1.5,"0","0","4","8",1090,0,1929,0,"98117",1570,5.08,535,"2014","11"
4,3,2060,6659,1,"0","0","3","7",1280,780,1981,0,"98058",2020,8.72,322.5,"2014","12"
3,2,2300,3060,1.5,"0","0","3","8",1510,790,1930,2002,"98115",1590,3.264,696,"2014","6"
4,1,1660,34848,1,"0","0","1","5",930,730,1933,0,"98052",2160,11.467,550,"2014","5"
4,2,2360,6000,2,"0","0","4","8",2360,0,1904,0,"98107",1730,4.7,640,"2014","12"
4,1,1220,8075,1,"0","0","2","7",890,330,1969,0,"98001",1290,7.8,240,"2015","2"
4,2,2620,7553,2,"0","0","3","8",2620,0,1996,0,"98056",2620,11.884,605,"2014","6"
4,2,2570,5520,2,"0","0","3","9",2570,0,2000,0,"98074",2470,5.669,625,"2014","7"
4,2,4220,24186,1,"0","0","3","8",2600,1620,1984,0,"98166",2410,30.617,775,"2014","8"
5,3,3595,5639,2,"0","0","3","9",3595,0,2014,0,"98053",3625,5.639,862,"2014","7"
3,1,1570,2280,2,"0","0","3","7",1570,0,1922,0,"98119",1580,2.64,685,"2014","10"
3,1,1280,9656,1,"0","0","4","6",920,360,1959,0,"98058",1340,8.808,309,"2014","7"
3,2,3160,13603,2,"0","0","3","8",3160,0,2003,0,"98019",3050,9.232,488,"2014","7"
3,1,990,8528,1,"0","0","3","6",990,0,1966,0,"98023",1228,8.84,210.5,"2015","3"
4,2,2290,13416,2,"0","0","4","9",2290,0,1981,0,"98007",2680,13.685,785,"2014","7"
3,2,1250,5963,1,"0","0","4","7",1250,0,1953,0,"98115",970,5.1,450,"2015","4"
3,2,2753,65005,1,"1","2","5","9",2165,588,1953,0,"98070",2680,72.513,1350,"2015","3"
3,1,1190,9199,1,"0","0","3","7",1190,0,1955,0,"98148",1190,9.364,228,"2014","9"
5,2,3150,9134,1,"0","0","4","8",1640,1510,1966,0,"98056",1990,9.133,345,"2015","2"
3,2,1410,4080,1,"0","0","4","7",1000,410,1950,0,"98117",1410,4.08,600,"2014","12"
2,2,1980,8550,1,"0","0","3","7",990,990,1981,0,"98117",1480,6.738,585,"2015","2"
5,2,2730,6000,1.5,"0","0","3","8",2130,600,1927,0,"98105",2730,6,920,"2015","3"
4,2,2830,5000,2,"0","0","3","9",2830,0,1995,0,"98105",1950,5,885,"2014","5"
4,2,2250,4495,2,"0","0","3","7",2250,0,2008,0,"98042",2250,4.5,292.5,"2014","8"
3,2,2420,4750,2,"0","0","3","8",2420,0,2003,0,"98042",2690,4.75,301,"2015","4"
5,3,3250,14342,2,"0","4","4","8",3250,0,1968,0,"98008",2960,11.044,951,"2014","8"
4,3,1850,9976,2,"0","0","3","8",1850,0,1991,0,"98059",2270,8.542,430,"2015","2"
3,2,2150,21235,1,"0","3","4","8",1590,560,1959,0,"98166",2570,18.9,650,"2014","12"
3,2,1260,8400,1,"0","0","3","7",1260,0,1954,0,"98148",1290,8.75,289,"2014","8"
3,2,2519,8690,2,"0","0","5","8",2519,0,1973,0,"98166",2500,9.5,505,"2014","10"
3,2,1540,1044,3,"0","0","3","8",1540,0,2014,0,"98115",1580,3.09,549,"2014","12"
3,2,1660,6000,1,"0","0","3","7",1110,550,1979,0,"98122",1440,4.08,425,"2014","6"
3,3,2770,3809,1.5,"0","0","5","7",1770,1000,1925,0,"98144",1440,4,317.6,"2014","11"
4,2,2720,11049,2,"0","0","3","10",2720,0,1989,0,"98004",2750,11.049,975,"2014","9"
4,2,2240,4648,2,"0","0","3","7",2240,0,2005,0,"98001",2221,4.557,287,"2014","10"
3,1,1000,12070,1,"0","0","4","7",1000,0,1968,0,"98042",1010,12.635,204,"2014","8"
5,2,3200,20158,1,"0","0","3","8",1600,1600,1965,0,"98004",3390,20.158,1330,"2014","6"
5,3,4770,50094,1,"0","0","4","11",3070,1700,1973,0,"98005",3530,38.917,1040,"2014","9"
3,2,1260,5612,1,"0","0","4","7",1260,0,1972,0,"98034",1640,4.745,325,"2015","1"
4,2,2750,7807,1.5,"0","0","5","7",2250,500,1916,0,"98125",1510,7.807,571,"2014","6"
4,2,2380,5000,2,"0","0","3","8",2380,0,2005,0,"98038",2420,5,360,"2014","7"
3,2,1790,50529,1,"0","0","5","7",1090,700,1965,0,"98042",1940,50.529,349,"2015","3"
4,4,3430,35102,2,"0","0","4","10",2390,1040,1986,0,"98075",3240,35.02,832.5,"2014","11"
4,2,1760,7300,1,"0","0","3","7",880,880,1956,0,"98008",1680,7.5,380,"2014","10"
3,1,1040,5060,1,"0","0","3","7",1040,0,1941,0,"98116",890,5.06,480,"2015","4"
3,1,1410,5060,1,"0","0","4","7",910,500,1956,0,"98133",1130,5.693,410,"2014","6"
4,2,3450,39683,2,"0","0","3","10",3450,0,2002,0,"98010",3350,39.75,720,"2015","3"
3,2,2350,5100,2,"0","0","3","8",2350,0,2003,0,"98038",2350,5.363,390,"2014","12"
4,2,1900,5889,2,"0","0","3","7",1900,0,1992,0,"98038",1870,6.405,360,"2014","12"
2,1,2020,6720,1,"0","0","3","7",1010,1010,1948,0,"98118",1720,6.72,355,"2014","10"
3,2,1680,8712,1,"0","0","3","8",1680,0,1964,0,"98059",1850,8.797,356,"2015","1"
3,1,960,6634,1,"0","0","3","6",960,0,1952,0,"98125",1570,7.203,315,"2014","6"
3,2,2140,3600,2,"0","0","3","9",1900,240,1925,0,"98119",2020,4.8,940,"2014","11"
5,2,2660,8400,1.5,"0","0","5","7",2660,0,1961,0,"98092",1590,8.165,305,"2014","11"
3,3,2770,6278,2,"0","0","3","9",1980,790,2006,0,"98056",1900,7.349,461,"2014","6"
2,2,1610,2040,2,"0","0","4","7",1610,0,1979,0,"98056",1950,2.025,215,"2014","5"
2,2,1030,1066,2,"0","0","3","7",765,265,2006,0,"98136",1030,1.106,335,"2014","9"
4,2,1980,7403,2,"0","0","3","7",1980,0,1988,0,"98023",1980,7.51,243.5,"2014","5"
5,3,3520,6353,2,"0","0","4","10",3520,0,2001,0,"98199",2520,6.25,1100,"2015","3"
3,1,1200,10500,1,"0","0","3","7",1200,0,1962,0,"98023",1350,10.5,153,"2015","2"
3,2,1580,5000,1,"0","0","3","8",1290,290,1939,0,"98117",1570,4.5,430,"2014","7"
3,2,1580,5000,1,"0","0","3","8",1290,290,1939,0,"98117",1570,4.5,700,"2014","12"
